event_id,muon_path_mm,muon_dEdx_MeV_per_cm,photons_produced,photons_arrived_window,photons_detected,sipm_charge_C,sipm_est_current_A
0,10,1.80219,17561,311,162,1.62e+08,5.4e+06
0,10,1.56493,15046,299,165,1.65e+08,5.5e+06
0,10,1.46379,26390,488,248,2.48e+08,8.26667e+06
0,10,1.64155,16116,298,168,1.68e+08,5.6e+06
0,10,1.89101,18447,348,206,2.06e+08,6.86667e+06
0,10,1.9245,18701,321,184,1.84e+08,6.13333e+06
0,10,1.61574,15794,316,165,1.65e+08,5.5e+06
0,10,1.63754,22609,435,223,2.23e+08,7.43333e+06
0,10,1.7351,16890,307,168,1.68e+08,5.6e+06
0,10,1.84393,17965,331,175,1.75e+08,5.83333e+06
0,10,1.60664,15818,309,163,1.63e+08,5.43333e+06
0,10,1.80629,17546,331,163,1.63e+08,5.43333e+06
0,10,1.50676,14855,242,135,1.35e+08,4.5e+06
0,10,1.73417,43684,846,471,4.71e+08,1.57e+07
