muon_energy_GeV,muon_path_mm,muon_dEdx_MeV_per_cm,photons_produced,photons_arrived_window,photons_detected
0.5,10,1.80219,17468,302,154
0.6,10,1.56493,14976,301,161
0.7,10,1.71021,19340,360,190
0.8,10,1.64155,16038,314,164
0.9,10,1.89101,18346,328,165
1,10,1.9245,18596,325,186
1.5,10,1.61574,15719,278,159
2,10,1.58141,19769,385,194
2.5,10,1.73599,16829,301,172
3,10,1.84393,17868,329,194
3.5,10,1.60664,15744,295,168
4,10,1.80629,17454,343,177
4.5,10,1.50676,14789,237,133
5,10,1.55969,15641,282,157
